70	474	22555	3425	93	['host1']	['host0']	['host6']	['host11']
71	480	17289355	303	15116673	['host1']	['host0']	['host6']	['host11']
72	481	13020668	358690	148534	['host1']	['host0']	['host6']	['host11']
73	485	2377667935	4979403763	182050104	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
74	496	302	22	136	['host1']	['host0']	['host6']	['host11']
75	499	160421525635	21302095981	2559015744	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11', 'host1', 'host4', 'host3', 'host8', 'host14', 'host5', 'host6', 'host12']	['host14']
76	514	17792112	11278783	138401	['host1']	['host0']	['host6']	['host11']
77	515	18864345	12129252	132668	['host1']	['host0']	['host6']	['host11']
78	515	18543381	11911840	134690	['host1']	['host0']	['host6']	['host11']
79	530	404	22	191	['host1']	['host0']	['host6']	['host11']
80	531	1590684084	7593417002	2090196743	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11', 'host1', 'host4', 'host3', 'host8', 'host14', 'host5']	['host1']
81	548	39718426258	6538279534	22862	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
82	560	140551969	25310433	2709	['host1']	['host0']	['host6']	['host11']
83	560	18416616174	42790093140	23787043241	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11', 'host1', 'host4', 'host3', 'host8', 'host14', 'host5', 'host6', 'host12', 'host15', 'host9', 'host0', 'host10', 'host13', 'host2', 'host7']	['host3']
84	566	2550	1436	1121	['host1']	['host0']	['host6']	['host11']
85	569	396347971	153416177	30428939	['host1']	['host0']	['host6']	['host11']
86	574	240151344744	19180097866	17029139	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
87	575	18951043	12158868	135154	['host1']	['host0']	['host6']	['host11']
88	578	302	22	136	['host1']	['host0']	['host6']	['host11']
89	585	404	22	191	['host1']	['host0']	['host6']	['host11']
90	596	554605592	974351549	10949326	['host1', 'host8']	['host6', 'host12', 'host15']	['host3']	['host6']
91	602	230640382975	24012893189	18619965	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
92	602	5706354	4261258	103288	['host1']	['host0']	['host6']	['host11']
93	611	5786942	5023360	122436	['host1']	['host0']	['host6']	['host11']
94	615	404	22	191	['host1']	['host0']	['host6']	['host11']
95	617	230057340803	22117698818	17740492	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
96	630	211388538564	15891545508	14530026	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
97	631	302	18	136	['host1']	['host0']	['host6']	['host11']
98	638	108194735	35073849	14175394	['host1']	['host0']	['host6']	['host11']
99	647	240796251344	25820734945	19282036	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
100	654	53500053881	1461226151	5864937	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0']	['host10']	['host1']
101	658	302	22	136	['host1']	['host0']	['host6']	['host11']
102	674	404	22	191	['host1']	['host0']	['host6']	['host11']
103	688	22220	22	191	['host1']	['host0']	['host6']	['host11']
104	691	232012059543	25253124733	19283926	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
105	696	58771293366	532206	12104	['host1', 'host8', 'host7']	['host11']	['host15']	['host3']
106	712	4233153	33	244	['host1']	['host0']	['host6']	['host11']
107	716	404	22	191	['host1']	['host0']	['host6']	['host11']
108	717	488820966	52149862	560	['host1']	['host0']	['host6']	['host11']
109	718	273241731	98101385	415	['host1']	['host0']	['host6']	['host11']
110	723	273241731	35368570	290	['host1']	['host0']	['host6']	['host11']
111	725	1567	1634	1204	['host1']	['host0']	['host6']	['host11']
112	727	302	22	136	['host1']	['host0']	['host6']	['host11']
