job_201107080012_85753	insert overwrite table tmp_sears_promo\.\.\.'R'(Stage-8)	1365214352	0	13303936	1315231439	12	235	0	235	48	0	0114b9aef37d1aa955f46795b13429df	
job_201107080012_85754	ESB SYWR Event Processing	163203596	40522723	38754915	1315231482	31	33	761	795	2	99	6744774f26d78d28657e8708a797cbcc	59f40265355dcf6a11bb49ef5d03bdfe
job_201107080012_85755	insert overwrite table tmp_sears_inv\.\.\.0\.01)(Stage-5)	809818201	130772925	228217	1315231484	35	4661	20	4682	1626	1	e5d3ff86e36d5396122234cf877bfff7	
job_201107080012_85756	insert overwrite table \.\.\.pmi\.exclud_flg\='N'(Stage-4)	13314448	0	13296961	1315231497	9	175	0	175	48	0	a04921fa86bde8a091b2da65340f8736	
job_201107080012_85757	insert overwrite table \.\.\.pmi\.exclud_flg\='N'(Stage-4)	13307473	0	13296961	1315231511	9	169	0	169	48	0	8801d78674d652858dda8582030def03	
job_201107080012_85758	ItemInquiry Processing @20110905-10:05:18	19898582	832089	768618	1315231520	8	8	0	8	2	0	916dd229c4cc1e7831a1ef2e31abd163	d520f892553ffa496106da355a85ccf9
job_201107080012_85759	insert overwrite table tmp_sears_inv\.\.\.0\.01)(Stage-16)	1249163542	0	330985	1315231523	12	54	0	54	10	0	4faadce8364c2377f742a16a4fbab047	
job_201107080012_85761	insert overwrite table tmp_sears_inv\.\.\.0\.01)(Stage-12)	335595	0	273411	1315231539	7	25	0	25	10	0	61b3cb1daf2aedadda6f7e55014177c9	
job_201107080012_85762	ItemInquiry Processing @20110905-10:05:38	19898582	17453758	13961439	1315231540	23	31	0	31	2	0	916dd229c4cc1e7831a1ef2e31abd163	d520f892553ffa496106da355a85ccf9
job_201107080012_85760	SYWR eCom Processing CreateMember\.rb @20110905-10:05:33	1000925	155162	58047	1315231541	9	8	0	8	2	0	2f330efbd7c304d372879c74f78ae162	806ca356222d7fb3f831eb3c9e03e5e0
job_201107080012_85763	insert overwrite table tmp_sears_inv\.\.\.0\.01)(Stage-10)	196291925106	0	330471	1315231552	48	12751	0	12751	1461	0	b559b64dc7f1ae0a158754f2b3f49321	
job_201107080012_85764	insert overwrite table\.\.\.pmi\.include_flg\='Y'(Stage-8)	13307473	0	16112087	1315231557	22	326	0	326	48	0	bdd0af4664d45a3c70dff28ac2f55951	
job_201107080012_85765	SYWR eCom Processing ProcessTransaction\.rb @20110905-10:06:00	1000925	0	0	1315231563	10	8	0	8	2	0	2f330efbd7c304d372879c74f78ae162	e9586f0e5abec171bd878eef17cc7141
job_201107080012_85766	SYWR eCom Processing GetMemberLookup\.rb @20110905-10:06:20	1000925	684240	292111	1315231583	10	8	0	8	2	0	2f330efbd7c304d372879c74f78ae162	a6d7f81428789baa19dc0a25310fb81a
job_201107080012_85767	insert overwrite table\.\.\.pmi\.include_flg\='Y'(Stage-6)	196291925106	0	3875778	1315231589	52	16364	0	16364	1461	0	b559b64dc7f1ae0a158754f2b3f49321	
job_201107080012_85768	SYWR eCom Processing Redemption\.rb @20110905-10:06:43	1000925	0	0	1315231606	12	9	0	9	2	0	2f330efbd7c304d372879c74f78ae162	bc5e5602c4ff18611f89fcdb90866dc2
job_201107080012_85769	insert overwrite table tmp_sears_inv\.\.\.0\.01)(Stage-5)	809818201	148240249	17192947	1315231616	45	5561	22	5583	1626	1	e5d3ff86e36d5396122234cf877bfff7	
job_201107080012_85770	SYWR eCom Processing ValidatePin\.rb @20110905-10:07:05	1000925	0	0	1315231632	7	6	0	6	2	0	2f330efbd7c304d372879c74f78ae162	1593f4d59db1350459ef568bebf6c137
job_201107080012_85771	SYWR eCom Processing UpdateMemberPrimaryProfile\.rb @20110905-10:07:26	1000925	0	0	1315231649	7	5	0	5	2	0	2f330efbd7c304d372879c74f78ae162	ce324416cebe8e16a1dd44c71143434b
job_201107080012_85772	insert overwrite table sears_promo_ite\.\.\.'R'(Stage-12)	1953052197	0	153137855	1315231654	12	122	0	122	15	0	84d5abdcad1319ef26c4571cb4110db2	
job_201107080012_85773	SYWR eCom Processing GetRewardBalance\.rb @20110905-10:07:46	1000925	119551	94	1315231669	7	5	0	5	2	0	2f330efbd7c304d372879c74f78ae162	962782735b3ca324e880b600e68a54c9
job_201107080012_85774	insert overwrite table tmp_sears_inv\.\.\.0\.01)(Stage-16)	1249163542	0	12296003	1315231670	16	95	0	95	10	0	4faadce8364c2377f742a16a4fbab047	
job_201107080012_85775	insert overwrite table tmp_sears_inv\.\.\.0\.01)(Stage-12)	12300613	0	6354494	1315231690	7	26	0	26	10	0	14f91ddaf130d4da17f10e3e57bf1a88	
job_201107080012_85776	insert overwrite table tmp_sears_inv\.\.\.0\.01)(Stage-10)	196291925106	0	6266489	1315231706	43	13594	0	13594	1461	0	b559b64dc7f1ae0a158754f2b3f49321	
job_201107080012_85777	insert overwrite table sears_promo_ite\.\.\.'R'(Stage-8)	153144755	0	99100437	1315231747	40	434	0	434	15	0	58984a29f637946e0a7a728e4b925cff	
job_201107080012_85778	insert overwrite table tmp_\.\.\.fin\.Prd_irl_no(Stage-1)	7251488	1518833	1793644	1315231763	30	7819	10	7829	2922	1	4c82eb84c7ff773c1b1610a03523411b	
job_201107080012_85779	SYWR eCom Processing CreateMember\.rb @20110905-10:09:26	17698327	144260	41825	1315231768	10	7	0	7	2	0	4f87f5792465b4fd1a722f38621d5606	4750ae3dda68051b9a1880d1dcca0950
job_201107080012_85780	insert overwrite table sears_promo_ite\.\.\.'R'(Stage-3)	99107337	98143517	99099233	1315231790	25	52	16	69	15	1	f22058253cc409915da37adf24848997	
job_201107080012_85781	SYWR eCom Processing ProcessTransaction\.rb @20110905-10:09:49	17698327	375076	73582	1315231791	9	6	0	6	2	0	4f87f5792465b4fd1a722f38621d5606	94975a096e729d85f5056d54df99145e
