job_201105130146_0491	PigLatin:tmpxRvCFi	502	502	313	1305454337	13	6	0	6	1	0		
job_201105130146_0492	PigLatin:tmpxRvCFi	683	683	313	1305454355	13	6	0	6	1	0		
job_201105130146_0493	PigLatin:tmpxRvCFi	4711087	113651	3907004	1305454373	56	15	1328	1343	1	49		
job_201105130146_0494	INSERT OVERWRITE LOCAL DIRECT\.\.\.'2011-03-07'(Stage-1)	212291135	0	232219208	1305454789	39	907	0	907	67	0		
job_201105130146_0495	INSERT overwrite local direct\.\.\.'2010-11-01'(Stage-1)	19182483	0	20536632	1305454867	65	3617	0	3617	193	0		
job_201105130146_0496	INSERT OVERWRITE LOCAL DIRECT\.\.\.'2010-03-01'(Stage-1)	77391102	0	82254425	1305454967	27	520	0	520	53	0		
job_201105130146_0497	PigLatin:stage_adwords_keywords_adspend\.pig	53493300	0	53493300	1305456016	38	30	0	30	1	0		
job_201105130146_0498	PigLatin:stage_adwords_placements_adspend\.pig	15300544	0	15300544	1305456061	24	15	0	15	1	0		
job_201105130146_0499	PigLatin:stage_adspend_adcenter_keywords\.pig	3395969	0	3395969	1305456096	17	9	0	9	1	0		
job_201105130146_0500	PigLatin:stage_doubleclick_adspend\.pig	95424	58020	72112	1305456124	27	6	15	21	2	1		
job_201105130146_0501	PigLatin:stage_commission_junction_adspend\.pig	506124	0	506124	1305456166	14	6	0	6	1	0		
job_201105130146_0505	PigLatin:bBLRmjoUBg	1386023547	0	1386023547	1305457676	319	2808	0	2808	21	0		
job_201105130146_0506	INSERT overwrite local dire\.\.\.'/analytic/%')(Stage-1)	983915494212	0	21213407749	1305457893	5777	345983	0	345983	4737	0		
job_201105130146_0507	INSERT OVERWRITE LOCAL DIRECT\.\.\.'2010-11-01'(Stage-1)	5849122123	0	6276510739	1305464346	112	5342	0	5342	194	0		
job_201105130146_0508	INSERT OVERWRITE LOCAL DIRECT\.\.\.'2010-11-01'(Stage-1)	9068940073	0	9720696731	1305464576	114	6428	0	6428	223	0		
job_201105130146_0509	PigLatin:stage_domains\.pig	15389	0	15389	1305467698	17	9	0	9	1	0		
job_201105130146_0510	PigLatin:stage_domains\.pig	15389	0	15389	1305467764	10	3	0	3	1	0		
job_201105130146_0511	PigLatin:stage_domains\.pig	15389	0	15389	1305467845	12	3	0	3	1	0		
job_201105130146_0512	PigLatin:stage_domains\.pig	15389	0	15389	1305468112	10	3	0	3	1	0		
job_201105130146_0513	PigLatin:tmpybNXIk	388	388	621	1305474096	17	9	0	9	1	0		
job_201105130146_0514	PigLatin:tmpybNXIk	508	508	313	1305474097	17	9	0	9	1	0		
job_201105130146_0515	PigLatin:tmpybNXIk	12736932468	10964791482	6254506043	1305474121	1337	62719	13789	76508	192	13		
job_201105130146_0516	PigLatin:tmp6fpIG9	2250	2250	465	1305475549	15	6	0	6	1	0		
job_201105130146_0517	PigLatin:tmp6fpIG9	834	834	465	1305475578	13	6	0	6	1	0		
job_201105130146_0518	PigLatin:tmp6fpIG9	6254560875	137045842	5243113674	1305475600	412	17722	14462	32184	112	49		
job_201105130146_0520	PigLatin:stage_send_jobs\.pig	3914791	3914791	4242679	1305477888	12	6	0	6	1	0		
job_201105130146_0521	PigLatin:stage_send_jobs\.pig	4243053	12884	117	1305477907	24	3	12	15	1	1		
